OrderId	chapter Name	Eng Name	Chapter Number
Order:	1	Al-Alaq	The Clot	(chapter:96)
Order:	2	Al-Qalam	The Pen	(chapter:68)
Order:	3	Al-Muzzammil	The Enshrouded One	(chapter:73)
Order:	4	Al-Muddaththir	The Cloaked One	(chapter:74)
Order:	5	Al-Faatiha	The Opening	(chapter:1)
Order:	6	Al-Masad	The Palm Fibre	(chapter:111)
Order:	7	At-Takwir	The Overthrowing	(chapter:81)
Order:	8	Al-A'laa	The Most High	(chapter:87)
Order:	9	Al-Lail	The Night	(chapter:92)
Order:	10	Al-Fajr	The Dawn	(chapter:89)
Order:	11	Ad-Dhuhaa	The Morning Hours	(chapter:93)
Order:	12	Ash-Sharh	The Consolation	(chapter:94)
Order:	13	Al-Asr	The Declining Day, Epoch	(chapter:103)
Order:	14	Al-Aadiyaat	The Chargers	(chapter:100)
Order:	15	Al-Kawthar	Abundance	(chapter:108)
Order:	16	At-Takaathur	Competition	(chapter:102)
Order:	17	Al-Maa'un	Almsgiving	(chapter:107)
Order:	18	Al-Kaafiroon	The Disbelievers	(chapter:109)
Order:	19	Al-Fil	The Elephant	(chapter:105)
Order:	20	Al-Falaq	The Dawn	(chapter:113)
Order:	21	An-Naas	Mankind	(chapter:114)
Order:	22	Al-Ikhlaas	Sincerity	(chapter:112)
Order:	23	An-Najm	The Star	(chapter:53)
Order:	24	Abasa	He frowned	(chapter:80)
Order:	25	Al-Qadr	The Power, Fate	(chapter:97)
Order:	26	Ash-Shams	The Sun	(chapter:91)
Order:	27	Al-Burooj	The Constellations	(chapter:85)
Order:	28	At-Tin	The Fig	(chapter:95)
Order:	29	Quraish	Quraysh	(chapter:106)
Order:	30	Al-Qaari'a	The Calamity	(chapter:101)
Order:	31	Al-Qiyaama	The Resurrection	(chapter:75)
Order:	32	Al-Humaza	The Traducer	(chapter:104)
Order:	33	Al-Mursalaat	The Emissaries	(chapter:77)
Order:	34	Qaaf	The letter Qaaf	(chapter:50)
Order:	35	Al-Balad	The City	(chapter:90)
Order:	36	At-Taariq	The Morning Star	(chapter:86)
Order:	37	Al-Qamar	The Moon	(chapter:54)
Order:	38	Saad	The letter Saad	(chapter:38)
Order:	39	Al-A'raaf	The Heights	(chapter:7)
Order:	40	Al-Jinn	The Jinn	(chapter:72)
Order:	41	Yaseen	Yaseen	(chapter:36)
